what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1298133184888
locale,sysinfo,,,"en_US",1298133184888
processors,sysinfo,,,"2",1298133184888
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1298133184888
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1298133184888
java.specification.name,sysinfo,,,"Java Platform API Specification",1298133184888
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1298133184888
java.specification.version,sysinfo,,,"1.6",1298133184888
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1298133184888
java.version,sysinfo,,,"1.6.0_24",1298133184888
java.vm.info,sysinfo,,,"mixed mode, sharing",1298133184888
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1298133184888
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1298133184888
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1298133184888
java.vm.specification.version,sysinfo,,,"1.0",1298133184888
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1298133184888
java.vm.version,sysinfo,,,"19.1-b02",1298133184888
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1298133186168
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1298133186206
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1298133186257
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298133192171
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1298133218776
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298133230782
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1298133230815
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298133232552
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298133233915
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298133234052
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1298133235449
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1298133235472
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1298133235508
stopped,bundle,com.android.ide.eclipse.adt,8.0.1.v201012062107-82219,"com.android.ide.eclipse.adt",1298133235508
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1298133235532
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1298133235533
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1298133235565
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1298133235568
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1298133235569
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.204.v200909021537,"org.eclipse.wst.xsd.ui",1298133235581
stopped,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1298133235581
stopped,bundle,org.eclipse.wst.common.ui,1.1.402.v200901262305,"org.eclipse.wst.common.ui",1298133235609
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1298133235621
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1298133236196
stopped,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1298133236243
stopped,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1298133236243
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1298133236269
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1298133236269
stopped,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1298133236269
stopped,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1298133236269
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1298133236269
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1298133236271
